Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",castellated_2.54mm_smd_x5,2,Conn_01x05,
J3,castellated_2.54mm_smd_x3,1,Conn_01x03,
J4,HDMI_A_Molex_208658-1001_Horizontal,1,NOT_HDMI_A,C138388
J5,PinHeader_1x02_P2.54mm_Vertical_nosilk,1,2.54mm_2p_nofit,
"R1, R2, R3, R4, R5, R6, R7, R8",R_0603_1608Metric,8,270,C22966
