Designator,Mid X,Mid Y,Rotation,Layer
J1,147.92,-93.9,0.0,top
J2,147.92,-76.1,180.0,top
J3,152.8,-85.0,90.0,top
J4,165.222,-84.75,0.0,top
J5,159.9,-94.8,90.0,top
R1,157.925002,-77.8256,0.0,top
R2,157.925002,-79.2988,180.0,top
R3,157.925,-80.772001,0.0,top
R4,157.925,-82.245201,180.0,top
R5,157.925002,-83.7184,0.0,top
R6,157.925002,-85.1916,180.0,top
R7,157.51829,-87.50269,45.0,top
R8,158.56,-88.5444,-135.0,top
